,epoch,scramble_distance,separation,accuracy
98,98.0,0.0,0.3959028966724873,0.9394166469573975
99,99.0,0.0,0.39796142414212227,0.9391666650772095
100,0.0,0.2,0.012311264723539352,0.09950000047683716
101,1.0,0.2,0.26725608050823213,0.8848333358764648
102,2.0,0.2,0.2943082062900066,0.922416627407074
103,3.0,0.2,0.2893302202224731,0.9293333292007446
104,4.0,0.2,0.28354389190673834,0.9375
105,5.0,0.2,0.2927071772515774,0.9429166316986084
106,6.0,0.2,0.2897410129010678,0.9430000185966492
107,7.0,0.2,0.28693666353821756,0.9463333487510681
108,8.0,0.2,0.29707526668906215,0.9495833516120911
109,9.0,0.2,0.3007581643760205,0.9469999670982361
110,10.0,0.2,0.2853020972013474,0.9488333463668823
111,11.0,0.2,0.3111764197051525,0.9474166631698608
112,12.0,0.2,0.30648778155446055,0.9491666555404663
113,13.0,0.2,0.3084451496601105,0.9458333253860474
